,World Rank,Region Rank,Year Score,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov Expenditure % of GDP,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Score Category,Asia-Pacific,Europe,Middle East / North Africa,North America,South and Central America / Caribbean,Sub-Saharan Africa
161,20.0,5.0,72.7,70.0,61.0,80.5,84.9,94.3,53.3,82.9,85.0,65.0,50.0,2.5,40.0,17.0,7.9,22.4,23.2,876.0,4.0,3.8,37720.0,4.4,1.4,-1962.0,40.8,2,1,0,0,0,0,0
162,131.0,27.0,53.4,20.0,23.0,92.8,78.1,61.7,55.5,64.6,78.2,20.0,40.0,5.9,13.0,15.0,18.0,27.0,7.8,16.2,7.4,6.6,2067.0,2.2,12.4,11.1,35.3,4,1,0,0,0,0,0
164,61.0,10.0,64.1,45.0,34.0,78.9,83.7,73.2,72.9,68.3,75.2,40.0,70.0,4.9,37.0,23.0,14.5,23.3,64.1,602.1,0.1,2.6,9396.0,0.7,3.8,9572.0,41.7,3,1,0,0,0,0,0
165,166.0,38.0,43.7,20.0,24.0,64.7,0.0,44.8,81.2,69.3,73.0,40.0,20.0,6.0,10.0,10.0,342.0,156.4,1.1,9.5,10.6,11.8,8701.0,18.4,13.5,20.0,0.0,5,1,0,0,0,0,0
168,72.0,14.0,62.3,50.0,32.0,84.9,60.4,55.1,76.7,73.7,69.9,60.0,60.0,10.0,25.0,25.0,16.0,36.3,1.3,26.5,-1.3,0.5,20053.0,6.4,5.1,574.0,32.4,3,0,0,0,0,1,0
169,107.0,11.0,57.0,40.0,38.0,74.5,63.7,82.8,70.1,77.8,58.1,35.0,30.0,16.0,35.0,30.0,20.5,34.8,10.7,101.0,-0.8,3.2,9478.0,18.0,3.5,1142.9,42.4,4,0,0,1,0,0,0
170,69.0,32.0,62.9,50.0,42.0,77.0,64.9,68.2,43.1,73.3,85.2,65.0,60.0,2.4,35.0,20.0,26.0,34.2,74.0,1073.6,8.5,3.5,14517.0,11.7,6.5,15876.0,39.4,3,0,1,0,0,0,0
173,161.0,43.0,46.3,30.0,23.0,78.2,29.4,47.6,49.9,71.0,84.4,20.0,30.0,2.8,17.0,21.0,38.1,48.5,45.6,329.5,5.2,0.6,7233.0,8.4,8.0,7207.0,36.5,5,0,1,0,0,0,0
174,28.0,3.0,71.1,55.0,68.0,99.9,85.1,74.0,77.6,83.9,82.6,35.0,50.0,3.7,0.0,0.0,7.1,22.3,5.4,258.8,4.9,2.8,48158.0,12.9,0.9,7679.0,16.9,2,0,0,1,0,0,0
175,14.0,5.0,74.8,90.0,78.0,57.0,27.7,94.1,71.6,72.4,86.8,90.0,80.0,1.6,50.0,24.0,35.0,49.1,62.6,2260.8,0.7,0.1,36090.0,8.0,4.5,53949.3,82.5,2,0,1,0,0,0,0
176,10.0,2.0,76.0,85.0,71.0,69.3,47.8,90.5,95.5,75.0,86.4,70.0,70.0,1.8,35.0,35.0,24.8,41.7,311.9,15094.0,1.7,0.5,48387.0,7.9,3.1,226937.0,102.9,2,0,0,0,1,0,0
177,36.0,4.0,69.7,70.0,70.0,84.2,68.3,73.4,70.7,72.5,82.9,75.0,30.0,3.6,25.0,25.0,18.1,32.5,3.4,50.9,5.7,6.1,15113.0,6.0,8.1,2191.2,54.2,3,0,0,0,0,1,0
178,162.0,35.0,46.0,15.0,16.0,90.2,67.8,71.2,61.0,63.0,66.1,0.0,10.0,6.9,22.0,9.0,20.4,32.8,28.8,95.2,8.3,8.7,3302.0,1.0,12.8,1403.0,9.1,5,1,0,0,0,0,0
180,174.0,28.0,36.1,5.0,19.0,75.6,50.6,45.6,34.5,47.3,58.8,5.0,20.0,10.6,34.0,34.0,11.3,40.6,29.8,374.1,4.2,2.6,12568.0,8.2,26.1,5302.0,45.5,5,0,0,0,0,1,0
181,140.0,30.0,51.0,15.0,29.0,75.6,72.4,63.8,65.5,65.3,78.6,15.0,30.0,5.7,35.0,25.0,24.3,30.3,89.3,300.0,5.9,6.5,3359.0,2.3,18.7,7430.0,38.0,4,1,0,0,0,0,0
183,93.0,12.0,58.7,30.0,32.0,72.9,80.3,60.4,58.4,66.0,82.3,55.0,50.0,3.8,35.0,35.0,16.0,25.6,13.6,21.9,6.6,6.5,1611.0,14.0,8.7,1981.7,26.1,4,0,0,0,0,0,1
184,175.0,46.0,28.6,10.0,22.0,71.8,66.4,33.4,21.9,0.0,50.4,0.0,10.0,17.3,45.0,25.0,12.9,33.5,12.6,6.1,9.3,-0.1,487.0,95.0,3.5,387.0,70.3,5,0,0,0,0,0,1
186,54.0,25.0,66.9,30.0,30.4,92.7,75.6,78.1,49.7,80.0,87.5,75.0,70.0,1.3,10.0,10.0,23.0,28.5,3.2,26.1,1.3,3.7,8052.0,15.0,2.0,957.0,60.6,3,0,1,0,0,0,0
187,146.0,14.0,50.8,30.0,28.7,80.5,51.0,66.3,48.3,67.8,60.8,45.0,30.0,12.1,35.0,25.0,10.0,40.4,36.5,272.9,2.5,2.4,7477.0,9.7,8.9,1484.0,9.9,4,0,0,1,0,0,0
189,166.0,27.0,44.6,15.0,29.5,63.5,49.9,53.9,44.9,60.0,68.9,30.0,30.0,5.6,35.0,35.0,34.6,40.9,41.0,743.1,1.9,5.4,18112.0,7.2,10.0,12551.1,44.9,5,0,0,0,0,1,0
190,41.0,18.0,68.9,30.0,26.7,86.5,81.3,83.1,78.5,77.0,85.5,70.0,70.0,2.3,26.0,20.0,16.7,25.0,3.4,19.6,7.2,1.0,5838.0,19.0,2.5,489.1,39.5,3,0,1,0,0,0,0
191,3.0,3.0,82.0,90.0,87.7,64.2,62.6,94.6,79.2,80.5,86.4,85.0,90.0,1.8,45.0,30.0,25.6,35.3,22.8,970.8,3.6,2.5,42640.0,5.2,1.8,56958.9,27.2,1,1,0,0,0,0,0
192,24.0,14.0,72.4,90.0,75.5,51.0,23.5,76.3,80.5,79.5,87.8,90.0,70.0,1.1,50.0,25.0,42.1,50.5,8.5,359.0,0.8,0.6,42409.0,4.4,2.6,6315.1,73.7,2,0,1,0,0,0,0
